"","x","y","Used","nLocs","DE","Year","HabSuit","Adequate"
"1",266517.432296044,251330.68195,1,9,2.49592973522717,2014,"Marginal","0"
"2",267513.007358275,250881.146254216,1,1,2.48819536212442,2014,"Marginal","0"
"3",266468.789406896,250782.756622598,1,0,2.46488163465783,2014,"Marginal","0"
"4",264429.779062261,253923.334428237,1,1,2.78230417645685,2014,"Good","1"
"5",260149.297092316,255025.142972374,1,0,2.743801000061,2014,"Marginal","0"
"6",259313.736800108,256078.905061356,1,7,2.93332808163154,2014,"Excellent","1"
"7",263666.077116362,257882.983424191,1,2,2.40118615955993,2014,"Marginal","0"
"8",262987.196310694,257071.655848012,1,2,2.74142198784709,2014,"Marginal","0"
"9",264320.224152938,257548.806697931,1,1,2.58538469062127,2014,"Marginal","0"
"10",264438.150374704,257459.926759288,1,5,2.40820987530393,2014,"Marginal","0"
"11",262641.904544121,256625.720071716,1,4,2.73386032931161,2014,"Marginal","0"
"12",264487.238559043,256879.839599057,1,3,2.49365254688537,2014,"Marginal","0"
"13",263612.937623712,254156.673357974,1,0,2.73894444176422,2014,"Marginal","0"
"14",266752.99942288,252781.818142534,1,5,2.72144292077347,2014,"Marginal","0"
"15",266787.291721479,252747.180353036,1,5,2.72144292077347,2014,"Marginal","0"
"16",266137.389197171,251817.796690378,1,4,2.71463736152832,2014,"Marginal","0"
"17",265884.143199964,251880.645949556,1,2,2.70872683589444,2014,"Marginal","0"
"18",265370.216928587,252127.463892242,1,2,2.23626636706671,2014,"Poor","0"
"19",264710.66255085,254269.854470273,1,3,2.69663913922671,2014,"Marginal","0"
"20",264109.519544496,254671.881731464,1,2,2.49022474274105,2014,"Marginal","0"
"21",264528.429779727,257011.252003405,1,3,2.49365254688537,2014,"Marginal","0"
"22",264410.021866952,257165.394979811,1,3,2.39441530515397,2014,"Poor","0"
"23",264285.82266992,257225.784427352,1,5,2.49604502017981,2014,"Marginal","0"
"24",264513.80347347,257487.910426338,1,5,2.40820987530393,2014,"Marginal","0"
"25",264122.6777485,257615.394879291,1,2,2.64893187701992,2014,"Marginal","0"
"26",262896.272642466,256739.582353196,1,0,2.73568366929296,2014,"Marginal","0"
"27",260788.47217155,254739.741609157,1,3,2.86743815866557,2014,"Good","1"
"28",264278.569325693,253824.43129911,1,2,2.76550948678806,2014,"Good","1"
"29",264287.341971785,257220.102484023,1,5,2.49604502017981,2014,"Marginal","0"
"30",264255.173547888,257288.264299492,1,5,2.49604502017981,2014,"Marginal","0"
"31",265259.80760743,253848.101950786,1,3,2.49136674819995,2014,"Marginal","0"
"32",265676.26584378,253637.84671837,1,3,2.46407584203836,2014,"Marginal","0"
"33",265099.555243257,253755.324334212,1,1,2.62292632513821,2014,"Marginal","0"
"34",264711.983142389,254268.300829461,1,3,2.69663913922671,2014,"Marginal","0"
"35",264161.148946887,254668.014601206,1,1,2.44018487171976,2014,"Marginal","0"
"36",266462.522722645,254384.81730704,1,1,2.39792766423599,2014,"Poor","0"
"37",266748.403312736,255073.499369774,1,1,2.3544062059508,2014,"Poor","0"
"38",265275.932431506,254659.821899598,1,1,2.41560687531356,2014,"Marginal","0"
"39",266765.287585548,254720.329422802,1,1,2.57246278438879,2014,"Marginal","0"
"40",264349.206749557,253821.873676093,1,2,2.76550948678806,2014,"Good","1"
"41",260704.812303839,254705.644575079,1,3,2.86743815866557,2014,"Good","1"
"42",263340.250750473,254937.575878067,1,0,2.62078573189699,2014,"Marginal","0"
"43",264709.809025081,254269.16773977,1,3,2.69663913922671,2014,"Marginal","0"
"44",267662.791495163,253876.478509163,1,1,2.55761218010919,2014,"Marginal","0"
"45",266579.779897831,253506.512508641,1,0,2.40599109504154,2014,"Marginal","0"
"46",264694.754456356,254254.764229321,1,3,2.69663913922671,2014,"Marginal","0"
"47",262931.715981022,253737.397103858,1,0,2.83892530985809,2014,"Good","1"
"48",265232.38190114,253869.759567553,1,3,2.49136674819995,2014,"Marginal","0"
"49",258949.921188161,265056.773876023,1,7,2.99462042934156,2014,"Excellent","1"
"50",259937.232207678,261481.2113148,1,1,2.82382946551387,2014,"Good","1"
"51",259170.978524302,263117.24114349,1,1,2.84267078703812,2014,"Good","1"
"52",261406.517006204,262893.620076734,1,1,2.82994614762029,2014,"Good","1"
"53",261702.411830491,262701.360729603,1,3,2.78372942548302,2014,"Good","1"
"54",258895.104751781,265145.020655229,1,2,2.98018847227876,2014,"Excellent","1"
"55",261676.992834738,262232.558936465,1,1,2.81497193434654,2014,"Good","1"
"56",261420.872745116,261395.671452631,1,1,2.77734326119288,2014,"Good","1"
"57",263072.505955217,261713.6614886,1,2,2.68833933632463,2014,"Marginal","0"
"58",263022.166914415,261698.407784613,1,2,2.68833933632463,2014,"Marginal","0"
"59",262571.927828682,261910.606634796,1,1,2.79609128683283,2014,"Good","1"
"60",263856.341034841,261384.787200698,1,3,2.51650876768415,2014,"Marginal","0"
"61",263384.263135511,260605.559141276,1,2,2.40430055823194,2014,"Marginal","0"
"62",262317.506371554,260695.249363911,1,2,2.69322747931743,2014,"Marginal","0"
"63",262399.793523219,259248.787646555,1,2,2.52760478196358,2014,"Marginal","0"
"64",262318.51284205,259193.029039987,1,1,2.63410999584161,2014,"Marginal","0"
"65",259294.511891972,256094.706932111,1,7,2.93332808163154,2014,"Excellent","1"
"66",258967.756655692,256364.680475219,1,2,2.91147209005605,2014,"Excellent","1"
"67",257115.360599837,259245.330459244,1,0,2.76712211972107,2014,"Good","1"
