ID2,SORTID,CollarBrand,ELKUID,Date,Time,UTMX,UTMY
902,1,2200,29,05/02/03,0:00,603144,5734518
903,2,2200,29,05/02/03,2:00,603106,5734550
904,3,2200,29,05/02/03,4:00,603079,5734549
905,4,2200,29,05/02/03,6:02,603062,5734552
906,5,2200,29,05/02/03,8:00,603251,5734787
907,6,2200,29,05/02/03,10:00,603181,5734663
908,7,2200,29,05/02/03,12:00,602803,5735153
909,8,2200,29,05/02/03,14:00,601423,5735080
910,9,2200,29,05/02/03,16:00,600098,5734583
911,10,2200,29,05/02/03,18:01,599968,5734514
912,11,2200,29,05/02/03,20:00,599972,5734621
913,12,2200,29,05/02/03,22:00,599884,5734560
914,13,2200,29,05/03/03,0:00,600001,5734483
915,14,2200,29,05/03/03,2:00,600003,5734480
916,15,2200,29,05/03/03,4:00,599998,5734474
917,16,2200,29,05/03/03,6:00,599927,5734457
918,17,2200,29,05/03/03,8:00,599825,5734547
919,18,2200,29,05/03/03,10:00,599843,5734495
920,19,2200,29,05/03/03,12:01,599839,5734504
921,20,2200,29,05/03/03,14:00,599815,5734544
922,21,2200,29,05/03/03,16:00,599803,5734549
923,22,2200,29,05/03/03,18:00,600879,5733681
924,23,2200,29,05/03/03,20:00,600715,5733453
925,24,2200,29,05/03/03,22:00,600730,5733508
926,25,2200,29,05/04/03,0:00,600722,5733497
927,26,2200,29,05/04/03,2:01,600727,5733495
928,27,2200,29,05/04/03,4:00,600725,5733496
929,28,2200,29,05/04/03,6:00,601062,5733801
930,29,2200,29,05/04/03,8:00,601373,5734191
931,30,2200,29,05/04/03,10:00,601352,5734331
932,31,2200,29,05/04/03,12:00,601291,5734637
933,32,2200,29,05/04/03,14:00,601297,5734644
934,33,2200,29,05/04/03,16:00,601247,5734694
935,34,2200,29,05/04/03,18:01,601292,5734647
936,35,2200,29,05/04/03,20:00,601190,5734670
937,36,2200,29,05/04/03,22:00,601055,5733928
938,37,2200,29,05/05/03,0:00,601371,5734053
939,38,2200,29,05/05/03,2:00,601352,5734052
940,39,2200,29,05/05/03,4:00,601354,5734043
941,40,2200,29,05/05/03,6:00,601009,5734299
942,41,2200,29,05/05/03,8:00,598880,5733779
943,42,2200,29,05/05/03,10:00,599255,5733446
944,43,2200,29,05/05/03,12:00,601854,5732378
945,44,2200,29,05/05/03,14:00,602014,5732304
946,45,2200,29,05/05/03,16:00,602347,5732147
947,46,2200,29,05/05/03,18:01,602386,5732129
948,47,2200,29,05/05/03,20:00,602694,5731907
949,48,2200,29,05/05/03,22:00,600759,5733009
950,49,2200,29,05/06/03,0:00,600841,5733037
951,50,2200,29,05/06/03,2:00,600867,5733042
952,51,2200,29,05/06/03,4:00,600858,5733033
953,52,2200,29,05/06/03,6:00,600859,5732386
