mod,res,dBIC
prey-human*canopy,1731.300598,0
prey+hum,1735.8037,4.503102459
prey*canopy-human*canopy,1737.328677,6.028079532
prefprey,1863.20949,131.9088923
prey*canopy,1878.301069,147.0004711
human*canopy,1878.952815,147.652217
human,1899.599609,168.2990116
