mod,res,dBIC
prey+hum,443.0208079,0
prey-human*canopy,443.8419167,0.821108837
human*canopy,445.9266427,2.905834861
prey*canopy-human*canopy,446.9702867,3.949478817
prey*canopy,466.7182405,23.69743266
prefprey,467.1162275,24.09541969
human,468.8872586,25.86645073
