deer_w2,moose_w2,elk_w2,sheep_w2,goat_w2,wolf_w2,Elevation2,DistFromHumanAccess2,DistFromHighHumanAccess2,landcover16,EASTING,NORTHING,pack,used,usedFactor,habitatType,landcov.f,closedConif,modConif,openConif,decid,regen,mixed,herb,shrub,water,rockIce,burn,alpineHerb,alpineShrub,alpine
4,5,5,3,3,5,1801.540444,94.45582445,18.32476034,8,559145,5713337,Red Deer,1,1,Shrub,Shrub,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,4,4,4,4,4,2169.712889,1704.150549,9264.564677,2,580310,5708450,Red Deer,1,1,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,4,4,4,4,4,2169.712889,1704.150549,9264.564677,2,580310,5708450,Red Deer,1,1,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,3,6,1,5,6,1737.133333,77.41344047,6550.189147,13,583630,5725550,Red Deer,1,1,Burn-Grassland,Burn,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,3,6,1,5,6,1737.133333,77.41344047,6550.189147,13,583630,5725550,Red Deer,1,1,Burn-Grassland,Burn,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,3,6,1,5,6,1737.133333,77.41344047,6550.189147,13,583630,5725550,Red Deer,1,1,Burn-Grassland,Burn,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,4,4,3,1,4,1649.772889,138.8682886,815.5488123,12,589450,5728050,Red Deer,1,1,Burn-Forest,Burn,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,4,4,3,1,4,1649.772889,138.8682886,815.5488123,12,589450,5728050,Red Deer,1,1,Burn-Forest,Burn,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,4,4,3,1,4,1649.772889,138.8682886,815.5488123,12,589450,5728050,Red Deer,1,1,Burn-Forest,Burn,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,3,4,6,5,4,2035.593333,85.52847414,11300.85317,8,580168,5722180,Red Deer,1,1,Shrub,Shrub,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,3,4,6,5,4,2035.593333,85.52847414,11300.85317,8,580168,5722180,Red Deer,1,1,Shrub,Shrub,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,3,4,6,5,4,2035.593333,85.52847414,11300.85317,8,580168,5722180,Red Deer,1,1,Shrub,Shrub,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,3,4,6,5,4,2035.593333,85.52847414,11300.85317,8,580168,5722180,Red Deer,1,1,Shrub,Shrub,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4,5,5,3,3,5,1875.313333,99.68403336,5777.522501,1,572480,5715500,Red Deer,1,1,Open Conifer,Open Conifer,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,5,5,3,3,5,1875.313333,99.68403336,5777.522501,1,572480,5715500,Red Deer,1,1,Open Conifer,Open Conifer,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,5,5,3,3,5,1875.313333,99.68403336,5777.522501,1,572480,5715500,Red Deer,1,1,Open Conifer,Open Conifer,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,5,5,3,1,5,1712.533333,42.58655953,6118.424617,1,584300,5725300,Red Deer,1,1,Open Conifer,Open Conifer,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,5,5,3,1,5,1712.533333,42.58655953,6118.424617,1,584300,5725300,Red Deer,1,1,Open Conifer,Open Conifer,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,5,4,1,4,4,1805.16,887.4134405,903.9713366,3,557315,5702253,Red Deer,1,1,Closed Conifer,Closed Conifer,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5,4,1,4,4,1805.16,887.4134405,903.9713366,3,557315,5702253,Red Deer,1,1,Closed Conifer,Closed Conifer,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5,4,1,4,4,1805.16,887.4134405,903.9713366,3,557315,5702253,Red Deer,1,1,Closed Conifer,Closed Conifer,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,4,4,3,4,2015.533333,933.2556658,6653.955153,1,591431,5719471,Red Deer,1,1,Open Conifer,Open Conifer,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,4,4,4,3,4,2015.533333,933.2556658,6653.955153,1,591431,5719471,Red Deer,1,1,Open Conifer,Open Conifer,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,4,4,4,3,4,2015.533333,933.2556658,6653.955153,1,591431,5719471,Red Deer,1,1,Open Conifer,Open Conifer,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,4,4,4,3,4,2015.533333,933.2556658,6653.955153,1,591431,5719471,Red Deer,1,1,Open Conifer,Open Conifer,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,,,,,,1853.792889,12.58655953,1216.851886,2,591620,5732570,Red Deer,1,1,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,1853.792889,12.58655953,1216.851886,2,591620,5732570,Red Deer,1,1,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,1853.792889,12.58655953,1216.851886,2,591620,5732570,Red Deer,1,1,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,3,3,4,4,3,2035.073333,30.82160108,217.0441861,3,568917,5711084,Red Deer,1,1,Closed Conifer,Closed Conifer,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,3,4,4,3,2035.073333,30.82160108,217.0441861,3,568917,5711084,Red Deer,1,1,Closed Conifer,Closed Conifer,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,3,4,4,3,2035.073333,30.82160108,217.0441861,3,568917,5711084,Red Deer,1,1,Closed Conifer,Closed Conifer,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,3,3,1,3,1874.219556,137.4134405,4791.414475,2,568930,5700560,Red Deer,1,1,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,4,3,3,1,3,1874.219556,137.4134405,4791.414475,2,568930,5700560,Red Deer,1,1,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,4,3,3,1,3,1874.219556,137.4134405,4791.414475,2,568930,5700560,Red Deer,1,1,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,4,4,3,3,4,1742.54,72.58655953,7221.584338,12,582877,5725542,Red Deer,1,1,Burn-Forest,Burn,0,0,0,0,0,0,0,0,0,0,1,0,0,0
