deer_w2,moose_w2,elk_w2,sheep_w2,goat_w2,wolf_w2,Elevation2,DistFromHumanAccess2,DistFromHighHumanAccess2,landcover16,EASTING,NORTHING,pack,used,usedFactor,habitatType,landcov.f,closedConif,modConif,openConif,decid,regen,mixed,herb,shrub,water,rockIce,burn,alpineHerb,alpineShrub,alpine
4,5,4,1,4,4,1670.019556,1683.200596,1468.293665,3,564710.8295,5685710.494,Red Deer,0,0,Closed Conifer,Closed Conifer,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,1629.466667,410.7617815,634.8952534,8,591968.1565,5729809.878,Red Deer,0,0,Shrub,Shrub,0,0,0,0,0,0,0,1,0,0,0,0,0,0
,,,,,,2513.927111,509.2146535,6462.827347,10,582773.7302,5734795.984,Red Deer,0,0,Rock-Ice,Rock-Ice,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,5,4,1,1,4,1838.54,20.31596664,356.7623993,2,558881.3156,5714182.215,Red Deer,0,0,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,3,4,6,5,4,2231.832444,764.9835806,6947.948991,10,582445.78,5727563.065,Red Deer,0,0,Rock-Ice,Rock-Ice,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,5,4,1,4,4,1984.273778,1013.656356,1107.409126,3,556481.0943,5709178.145,Red Deer,0,0,Closed Conifer,Closed Conifer,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,4,3,1,4,1788.253778,547.4712436,6370.659611,2,585093.2842,5724067.658,Red Deer,0,0,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,1756.906667,102.2896567,929.260495,14,605917.8454,5723897.345,Red Deer,0,0,Burn-Shrub,Burn,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1,1,1,4,1,2800.793333,3955.03539,9506.825196,10,577922.7677,5707369.929,Red Deer,0,0,Rock-Ice,Rock-Ice,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,,,,,,2462.553333,2531.571638,4785.86137,10,583072.0892,5740004.291,Red Deer,0,0,Rock-Ice,Rock-Ice,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,1,3,6,5,3,2394.227111,756.5581852,8051.04657,10,581968.0569,5732246.284,Red Deer,0,0,Rock-Ice,Rock-Ice,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,,,,,,1568,27.90951448,0,7,600767.614,5732098.357,Red Deer,0,0,Herbaceous,Herbaceous,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,5,4,1,4,4,1740.253333,1946.367421,1764.695429,2,549808.7001,5704744.554,Red Deer,0,0,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,4,4,4,3,4,2093.386667,935.4473165,4139.924467,3,586028.292,5708631.773,Red Deer,0,0,Closed Conifer,Closed Conifer,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,5,5,3,2291.253778,627.7131501,7376.604346,10,570237.7027,5698331.225,Red Deer,0,0,Rock-Ice,Rock-Ice,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,,,,,,1760.4,1250.021386,7137.290493,2,575391.5238,5744722.737,Red Deer,0,0,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,5,4,3,3,4,1864.146222,544.7222156,8629.083924,2,573611.6327,5718175.012,Red Deer,0,0,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,4,5,5,4,4,2273.400889,938.0828385,1308.144573,2,587961.7522,5706128.199,Red Deer,0,0,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,5,5,4,1,5,1833.886222,44.12068924,12547.08061,8,577330.6903,5724951.67,Red Deer,0,0,Shrub,Shrub,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,3,4,5,5,5,2222.960444,1615.185627,10786.25681,2,578555.7678,5730037.747,Red Deer,0,0,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,3,3,4,4,3,2093.059556,238.2641447,13114.20512,8,576259.9032,5730564.442,Red Deer,0,0,Shrub,Shrub,0,0,0,0,0,0,0,1,0,0,0,0,0,0
,,,,,,2068.339111,690.7225681,2570.888106,13,599766.0874,5726494.308,Red Deer,0,0,Burn-Grassland,Burn,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,,,,,,1915.372889,151.7364487,0,8,593201.7226,5738662.809,Red Deer,0,0,Shrub,Shrub,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4,5,4,3,3,4,1837.56,1011.13341,11273.12662,2,579050.669,5724101.286,Red Deer,0,0,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,5,4,3,1,4,1741.56,717.1947918,677.7744888,2,559376.875,5692106.051,Red Deer,0,0,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,2411.985778,2009.288797,2132.172976,10,569762.1337,5707203.878,Red Deer,0,0,Rock-Ice,Rock-Ice,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,,,,,,1731.446667,290.3159666,401.9455262,2,590000.5451,5731319.261,Red Deer,0,0,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,4,1,2558.333778,804.1817164,1644.207068,10,557066.7476,5724667.944,Red Deer,0,0,Rock-Ice,Rock-Ice,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,,,,,,2141.267556,1018.623386,915.5003155,10,597486.7432,5729011.417,Red Deer,0,0,Rock-Ice,Rock-Ice,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,1,1,4,1,2415.980444,1517.41344,15621.77207,10,573529.9568,5727585.813,Red Deer,0,0,Rock-Ice,Rock-Ice,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,,,,,,1803.281333,858.7787974,630.6043582,3,599044.4925,5730366.495,Red Deer,0,0,Closed Conifer,Closed Conifer,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,4,1,2899.928444,5480.538598,5595.637502,10,560108.3816,5728236.904,Red Deer,0,0,Rock-Ice,Rock-Ice,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,4,3,3,5,3,2159.085778,1162.98975,1147.852483,3,558765.4489,5716665.171,Red Deer,0,0,Closed Conifer,Closed Conifer,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,4,1,2594.06,867.3621458,1120.082184,10,548685.3745,5718307.929,Red Deer,0,0,Rock-Ice,Rock-Ice,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,,,,,,1803.979556,679.9499195,643.5445884,2,602350.3992,5719817.965,Red Deer,0,0,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,2415.272,288.4736729,362.1852936,10,565990.3519,5705395.796,Red Deer,0,0,Rock-Ice,Rock-Ice,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,1,1,4,1,2570.640444,2972.034936,9829.283286,10,567751.6531,5725807.622,Red Deer,0,0,Rock-Ice,Rock-Ice,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,3,3,4,4,3,2245.113333,278.2546124,12794.82107,5,576491.8372,5729775.493,Red Deer,0,0,Mixed,Mixed,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,3,6,1,5,6,1740.592889,91.61021465,35.53864737,2,599733.2282,5715510.068,Red Deer,0,0,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,2062.680444,774.0951993,6138.469696,2,582196.9924,5741577.723,Red Deer,0,0,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,2174.258667,845.432364,7669.643496,10,580073.6477,5738840.443,Red Deer,0,0,Rock-Ice,Rock-Ice,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,4,4,3,3,4,1782.887111,67.51136647,7489.673551,12,582607.3279,5725470.039,Red Deer,0,0,Burn-Forest,Burn,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,3,3,5,5,3,2444.067111,3277.601912,3311.053906,1,555091.0783,5712353.325,Red Deer,0,0,Open Conifer,Open Conifer,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,,,,,,2471.874222,2218.238474,2212.149526,10,587246.6688,5729721.707,Red Deer,0,0,Rock-Ice,Rock-Ice,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,4,5,5,4,4,2065.505778,82.65829084,11821.84562,8,580484.3095,5720946.958,Red Deer,0,0,Shrub,Shrub,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4,4,4,1,1,4,1712.04,408.7794047,1191.427395,12,588609.173,5727911.268,Red Deer,0,0,Burn-Forest,Burn,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1,1,1,4,1,2538.908889,748.6008523,6661.177313,10,572515.0538,5693802.317,Red Deer,0,0,Rock-Ice,Rock-Ice,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,3,5,4,3,2397.886222,3890.364497,9699.280431,10,578671.144,5712244.04,Red Deer,0,0,Rock-Ice,Rock-Ice,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,,,,,,1931.413333,530.9537816,5885.728836,2,583835.3412,5743335.507,Red Deer,0,0,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,1790.806222,55.45716992,28.78272502,2,597366.6295,5735396.66,Red Deer,0,0,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,5,4,3,2388.852444,270.6190716,9031.502839,10,572459.7463,5696583.138,Red Deer,0,0,Rock-Ice,Rock-Ice,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,5,4,3,3,4,1706.773333,499.0492641,459.768747,2,601373.9051,5715652.388,Red Deer,0,0,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,4,3,1,1,3,2307.872889,1127.0784,1162.563297,10,560867.6264,5702298.423,Red Deer,0,0,Rock-Ice,Rock-Ice,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,1,1,4,1,2458.247111,1295.599331,1167.173063,10,569076.0558,5706222.161,Red Deer,0,0,Rock-Ice,Rock-Ice,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,,,,,,1924.686667,831.1038273,581.8652634,2,600499.2364,5720388.839,Red Deer,0,0,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,2556.873333,2570.182359,2398.338948,10,555941.9225,5719034.823,Red Deer,0,0,Rock-Ice,Rock-Ice,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,3,3,4,4,3,2143.78,231.4496103,8072.764091,2,587208.0331,5721059.35,Red Deer,0,0,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,3,3,1,1,3,1976.333333,501.5442382,405.6873699,3,548505.5775,5714182.885,Red Deer,0,0,Closed Conifer,Closed Conifer,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,4,4,3,4,1799.946667,822.3200879,702.2815569,3,554176.5418,5702668.028,Red Deer,0,0,Closed Conifer,Closed Conifer,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5,4,3,3,4,1800.346667,99.22460983,6269.416108,2,572950.4442,5743846.236,Red Deer,0,0,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,2146.593333,677.4134405,634.236818,7,595079.6594,5739066.254,Red Deer,0,0,Herbaceous,Herbaceous,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1,1,1,1,1,2431.567111,1325.320353,7888.500773,10,581392.789,5728350.378,Red Deer,0,0,Rock-Ice,Rock-Ice,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,1,1,4,1,2681.206667,2813.264311,4111.236603,10,568825.3703,5715393.435,Red Deer,0,0,Rock-Ice,Rock-Ice,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,5,4,1,4,4,1510.146222,5.621077945,0,9,561308.4954,5692477.825,Red Deer,0,0,Water,Water,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,5,4,3,3,4,1879.62,150.4343487,4600.21142,8,588351.3361,5710578.106,Red Deer,0,0,Shrub,Shrub,0,0,0,0,0,0,0,1,0,0,0,0,0,0
,,,,,,2138.980444,1070.315967,2233.203449,10,596210.8604,5726635.15,Red Deer,0,0,Rock-Ice,Rock-Ice,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,,,,,,2284.213778,487.8109107,8282.890799,10,579471.1835,5738434.776,Red Deer,0,0,Rock-Ice,Rock-Ice,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,4,4,4,3,4,2145.466222,1487.843015,1876.712748,2,570910.4676,5710487.979,Red Deer,0,0,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,1780.753333,124.1335592,1850.387811,1,609636.6475,5722812.071,Red Deer,0,0,Open Conifer,Open Conifer,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,,,,,,2097.572889,906.360966,781.851229,2,593592.241,5736366.727,Red Deer,0,0,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,4,4,1,4,5,2306.62,1161.67204,1715.937134,15,558196.8007,5716114.679,Red Deer,0,0,Alpine Herb,Alpine Herb,0,0,0,0,0,0,0,0,0,0,0,1,0,1
3,5,4,1,3,4,1766.959556,292.5034714,293.0118746,2,549327.0562,5710350.986,Red Deer,0,0,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,2405.812889,3824.885808,4296.194462,10,594277.6995,5722994.731,Red Deer,0,0,Rock-Ice,Rock-Ice,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,4,4,3,1,4,1959.479556,232.608315,1638.118206,2,570098.3821,5712112.01,Red Deer,0,0,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,4,4,4,3,4,2087,298.2650843,240.9855202,9,567020.9167,5710320.44,Red Deer,0,0,Water,Water,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1,1,1,4,1,2497.859556,6046.759401,6919.549988,10,564591.7646,5725201.358,Red Deer,0,0,Rock-Ice,Rock-Ice,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,5,4,3,3,4,1739.933333,27.90951448,5202.63236,1,572345.9421,5744775.426,Red Deer,0,0,Open Conifer,Open Conifer,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,4,4,1,1,4,1567.346667,60.62277541,0,2,555631.6434,5699298.538,Red Deer,0,0,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,4,3,4,3,3,2095.779556,1033.067899,981.7164536,3,551145.483,5709938.748,Red Deer,0,0,Closed Conifer,Closed Conifer,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,4,3,3,4,1979.666222,1479.311676,9731.083758,2,575174.5835,5718427.836,Red Deer,0,0,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,1776.085778,318.3734741,4914.682779,2,572883.5852,5745903.9,Red Deer,0,0,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,2501.806667,2677.28127,5266.045558,10,592775.9903,5720611.833,Red Deer,0,0,Rock-Ice,Rock-Ice,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,1,5,5,3,2316.4,2200.002668,4784.008315,10,571193.7534,5702081.763,Red Deer,0,0,Rock-Ice,Rock-Ice,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,1,1,4,1,2326.787111,6412.610097,7066.536578,10,563600.0177,5727370.044,Red Deer,0,0,Rock-Ice,Rock-Ice,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,5,4,1,4,4,1835.7,2229.903893,2095.847662,3,562984.8749,5695260.098,Red Deer,0,0,Closed Conifer,Closed Conifer,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,4,1,2445.093333,869.2968518,9446.452953,10,581796.797,5711852.219,Red Deer,0,0,Rock-Ice,Rock-Ice,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,1,1,3,1,2533.040444,2332.893611,2226.361909,10,563304.6561,5698312.01,Red Deer,0,0,Rock-Ice,Rock-Ice,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,,,,,,1845.460444,355.4528588,1385.169507,2,594355.9249,5733235.534,Red Deer,0,0,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,2669.206667,3115.426688,5264.107145,10,582499.528,5738391.653,Red Deer,0,0,Rock-Ice,Rock-Ice,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,1,1,4,1,2670.76,3002.836767,4948.354088,10,571813.3037,5690159.729,Red Deer,0,0,Rock-Ice,Rock-Ice,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,1,1,1,1,2593.186667,1915.038358,1624.402047,10,562675.155,5705859.435,Red Deer,0,0,Rock-Ice,Rock-Ice,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,1,1,1,1,2661.293333,2233.434072,5180.056973,10,572110.6227,5691110.027,Red Deer,0,0,Rock-Ice,Rock-Ice,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,,,,,,1841.853333,489.5727513,622.5997872,3,603116.3148,5721233.798,Red Deer,0,0,Closed Conifer,Closed Conifer,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,2833.055111,3193.397272,5485.788595,10,590103.2958,5723395.626,Red Deer,0,0,Rock-Ice,Rock-Ice,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,4,4,4,3,4,1871.072889,822.739794,4555.855665,3,566213.6591,5694536.911,Red Deer,0,0,Closed Conifer,Closed Conifer,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,1976.866222,393.1548272,1908.527692,1,589828.8136,5734385.226,Red Deer,0,0,Open Conifer,Open Conifer,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1997.479556,295.2962649,178.5082195,10,550806.6325,5693077.827,Red Deer,0,0,Rock-Ice,Rock-Ice,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,5,4,1,4,4,1788.067111,409.0403916,198.7520475,3,559675.0984,5691326.429,Red Deer,0,0,Closed Conifer,Closed Conifer,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5,4,3,1,4,1707.146222,1457.112947,1412.968076,2,549739.7305,5706364.9,Red Deer,0,0,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,5,5,4,1,5,1787.933333,613.6653634,10581.47498,2,579621.7034,5724510.153,Red Deer,0,0,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,4,1,2748.886667,3195.460286,15818.34854,10,571111.6107,5731913.351,Red Deer,0,0,Rock-Ice,Rock-Ice,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,,,,,,2014.553333,42.58655953,4.538870126,1,592320.8964,5739979.093,Red Deer,0,0,Open Conifer,Open Conifer,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,5,4,1,4,4,2001.94,1143.574894,1124.989039,3,552429.758,5706853.569,Red Deer,0,0,Closed Conifer,Closed Conifer,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,5,5,4,4,2113.692444,290.8003967,8234.05389,8,581351.9028,5731180.507,Red Deer,0,0,Shrub,Shrub,0,0,0,0,0,0,0,1,0,0,0,0,0,0
,,,,,,2188.259556,192.9979909,3309.667373,10,588135.4709,5734974.114,Red Deer,0,0,Rock-Ice,Rock-Ice,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,1,1,4,1,2571.587111,840.9651232,9661.336517,10,581738.3342,5712121.835,Red Deer,0,0,Rock-Ice,Rock-Ice,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,4,4,4,3,4,2196.966667,3514.576124,3937.127489,2,594471.782,5711580.922,Red Deer,0,0,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,2327.279111,1786.391985,9385.54817,10,578841.0468,5741909.429,Red Deer,0,0,Rock-Ice,Rock-Ice,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,1,1,4,1,2787.899556,1460.494831,1362.538554,10,550578.4625,5696157.182,Red Deer,0,0,Rock-Ice,Rock-Ice,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,3,3,3,1,4,2094.766667,1408.472583,3002.217897,2,596091.2147,5714893.799,Red Deer,0,0,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,4,4,4,3,4,2198.92,4287.829259,4319.901538,1,593876.0402,5722071.584,Red Deer,0,0,Open Conifer,Open Conifer,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,,,,,,2538.686667,2097.442327,5852.181728,10,581908.4384,5739269.961,Red Deer,0,0,Rock-Ice,Rock-Ice,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,6,3,1,1,5,2174.433333,169.0090546,1268.42471,2,562958.5152,5685027.036,Red Deer,0,0,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,1776.346667,874.2788248,1048.334524,1,549163.1687,5701432.903,Red Deer,0,0,Open Conifer,Open Conifer,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,4,4,4,4,4,2129.359556,2447.466399,6357.974583,1,575401.8988,5711451.304,Red Deer,0,0,Open Conifer,Open Conifer,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,,,,,,2049.566222,381.4057311,308.1476919,3,598612.142,5736462.022,Red Deer,0,0,Closed Conifer,Closed Conifer,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,4,6,5,4,2341.973778,1660.427148,4993.018774,1,584281.1692,5706130.068,Red Deer,0,0,Open Conifer,Open Conifer,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,4,4,3,1,4,1971.727111,759.6107447,15191.80938,2,574186.1338,5725315.656,Red Deer,0,0,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,4,4,4,3,4,2067.533778,342.9302576,299.2249186,2,563721.9926,5710957.634,Red Deer,0,0,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,1762.259556,1070.492358,945.039293,2,594821.1657,5729240.966,Red Deer,0,0,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,1,3,6,5,3,2542.292889,1207.198538,1129.451595,10,563241.5607,5713450.59,Red Deer,0,0,Rock-Ice,Rock-Ice,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,,,,,,1688.212889,42.18856567,0,2,597157.9778,5733435.007,Red Deer,0,0,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,2158.26,4045.403113,4716.416943,10,591708.7003,5724645.302,Red Deer,0,0,Rock-Ice,Rock-Ice,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,1,1,1,1,2631.853333,4974.948401,5149.254418,10,566687.4283,5716392.774,Red Deer,0,0,Rock-Ice,Rock-Ice,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,,,,,,2239.739556,189.6840334,8909.009675,15,579385.4689,5735836.037,Red Deer,0,0,Alpine Herb,Alpine Herb,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1,4,1,3,4,3,2168.973333,1448.921846,11667.52366,10,570072.2799,5725378.101,Red Deer,0,0,Rock-Ice,Rock-Ice,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,1,1,4,1,2483.700444,4496.491788,4376.363972,10,564556.7201,5718728.458,Red Deer,0,0,Rock-Ice,Rock-Ice,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,4,3,1,1,3,1894.153778,281.9936661,744.8631896,3,558263.1165,5688233.699,Red Deer,0,0,Closed Conifer,Closed Conifer,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,2350.119556,999.8601956,7842.999595,10,581435.4477,5728921.185,Red Deer,0,0,Rock-Ice,Rock-Ice,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,4,4,4,3,4,2189.973333,3301.289685,3364.195417,2,594734.6104,5721599.716,Red Deer,0,0,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,4,1,2194.973778,1944.252148,1816.781081,10,602512.0432,5714410.806,Red Deer,0,0,Rock-Ice,Rock-Ice,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,1,1,3,1,2383.04,403.3434701,328.5987542,15,554322.7326,5721129.323,Red Deer,0,0,Alpine Herb,Alpine Herb,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1,1,1,1,4,1,2250.345778,620.7370174,8463.571423,10,570754.2977,5740247.353,Red Deer,0,0,Rock-Ice,Rock-Ice,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,4,5,5,5,5,2045.153333,1548.052266,11939.59522,10,575461.3081,5720932.566,Red Deer,0,0,Rock-Ice,Rock-Ice,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,3,3,5,6,4,2181.833778,268.597293,159.7637837,8,550880.0651,5694223.039,Red Deer,0,0,Shrub,Shrub,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1,1,1,4,1,2540.924889,1026.46881,1184.284169,10,561318.9456,5682134.891,Red Deer,0,0,Rock-Ice,Rock-Ice,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,3,3,5,6,3,2297.426222,2661.148388,7912.276613,10,576110.1931,5707268.451,Red Deer,0,0,Rock-Ice,Rock-Ice,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,1,5,5,3,2607.239556,2454.318967,7057.316702,10,570796.1681,5693503.635,Red Deer,0,0,Rock-Ice,Rock-Ice,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,4,4,3,3,4,1587.313333,406.0007168,425.5160942,2,553997.0255,5700414.77,Red Deer,0,0,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,7,7,7,7,7,2097.313333,4615.125687,6467.325388,9,574225.8787,5704125.186,Red Deer,0,0,Water,Water,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,,,,,,2455.252,1331.434794,6690.946558,10,583725.1578,5733138.793,Red Deer,0,0,Rock-Ice,Rock-Ice,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,4,5,5,4,4,2307.040444,1005.660462,12339.51612,15,569092.3819,5728470.521,Red Deer,0,0,Alpine Herb,Alpine Herb,0,0,0,0,0,0,0,0,0,0,0,1,0,1
4,3,4,5,5,4,1882.166667,1613.838822,3095.548812,10,589388.9798,5725779.116,Red Deer,0,0,Rock-Ice,Rock-Ice,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,,,,,,2206.787556,2187.265124,3905.635725,10,595464.4882,5725008.348,Red Deer,0,0,Rock-Ice,Rock-Ice,0,0,0,0,0,0,0,0,0,1,0,0,0,0
